gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat
Female,single,0,0,151.0,58.0,72.0,4-6 times a week,2-3 times a week,less than once a week,4-6 times a week,every day,Mix of vegetable oils
Female,single,1,1,162.0,60.0,68.0,every day,once a week,every day,every day,less than once a week,Sunflower oil
Female,single,0,4,162.0,75.0,78.0,2-3 times a week,less than once a week,every day,once a week,every day,Sunflower oil
Female,single,0,0,154.0,45.0,91.0,never,4-6 times a week,4-6 times a week,never,2-3 times a week,Margarine
Female,single,2,1,154.0,50.0,65.0,every day,2-3 times a week,every day,every day,2-3 times a week,Margarine
Female,single,2,0,159.0,66.0,82.0,4-6 times a week,once a week,every day,every day,less than once a week,Peanut oil
Female,single,2,0,160.0,66.0,74.0,2-3 times a week,2-3 times a week,every day,every day,every day,Mix of vegetable oils
Female,single,0,2,163.0,66.0,73.0,4-6 times a week,once a week,every day,every day,less than once a week,Mix of vegetable oils
Female,single,0,3,154.0,60.0,89.0,4-6 times a week,2-3 times a week,every day,every day,every day,Mix of vegetable oils
Female,single,0,2,160.0,77.0,87.0,once a week,2-3 times a week,every day,4-6 times a week,never,Peanut oil
Female,single,0,2,175.0,68.0,91.0,every day,once a week,every day,every day,every day,Peanut oil
Female,single,2,0,165.0,75.0,81.0,every day,once a week,once a week,2-3 times a week,never,Mix of vegetable oils
Female,single,0,3,158.0,53.0,89.0,4-6 times a week,once a week,every day,every day,every day,Sunflower oil
Female,single,2,0,155.0,63.0,79.0,2-3 times a week,less than once a week,every day,2-3 times a week,once a week,Sunflower oil
Female,single,0,2,154.0,80.0,83.0,2-3 times a week,2-3 times a week,every day,every day,less than once a week,Peanut oil
Male,single,0,3,166.0,80.0,78.0,every day,never,every day,2-3 times a week,never,Sunflower oil
Female,single,0,2,159.0,57.0,74.0,2-3 times a week,once a week,every day,2-3 times a week,less than once a week,Sunflower oil
Female,single,0,2,157.0,55.0,74.0,2-3 times a week,once a week,every day,every day,once a week,Peanut oil
Male,single,0,1,165.0,57.0,78.0,every day,once a week,every day,every day,every day,Sunflower oil
Female,single,0,0,156.0,90.0,78.0,every day,less than once a week,every day,every day,once a week,Sunflower oil
Male,couple,0,1,175.0,90.0,73.0,every day,less than once a week,every day,2-3 times a week,once a week,Duck or goose fat
Female,couple,2,2,161.0,68.0,76.0,4-6 times a week,once a week,every day,every day,less than once a week,Butter
Male,couple,2,2,168.0,83.0,85.0,4-6 times a week,once a week,every day,every day,less than once a week,Butter
Male,single,0,4,168.0,90.0,73.0,2-3 times a week,once a week,4-6 times a week,every day,never,Peanut oil
Female,couple,3,1,156.0,56.0,77.0,2-3 times a week,once a week,every day,2-3 times a week,never,Sunflower oil
Male,couple,3,2,170.0,70.0,74.0,2-3 times a week,once a week,every day,2-3 times a week,never,Sunflower oil
Female,single,0,0,162.0,58.0,67.0,4-6 times a week,2-3 times a week,every day,every day,never,Peanut oil
Male,couple,4,5,172.0,80.0,68.0,every day,2-3 times a week,every day,every day,every day,Olive oil
Female,single,1,1,165.0,75.0,69.0,4-6 times a week,2-3 times a week,every day,every day,every day,Peanut oil
Male,couple,0,2,171.0,81.0,71.0,4-6 times a week,once a week,every day,every day,every day,Peanut oil
Female,couple,0,1,160.0,54.0,67.0,4-6 times a week,4-6 times a week,every day,2-3 times a week,once a week,Sunflower oil
Male,couple,0,3,176.0,82.0,76.0,2-3 times a week,2-3 times a week,2-3 times a week,every day,every day,Mix of vegetable oils
Male,couple,0,3,164.0,53.0,69.0,every day,2-3 times a week,every day,every day,less than once a week,Olive oil
Female,couple,1,2,156.0,58.0,67.0,every day,2-3 times a week,every day,every day,every day,Peanut oil
Female,single,0,2,153.0,70.0,69.0,every day,never,every day,every day,2-3 times a week,Olive oil
Male,couple,1,0,159.0,70.0,85.0,2-3 times a week,less than once a week,every day,4-6 times a week,every day,Butter
Male,couple,0,5,170.0,60.0,74.0,4-6 times a week,once a week,every day,every day,every day,Butter
Male,family,0,0,178.0,87.0,78.0,2-3 times a week,once a week,4-6 times a week,2-3 times a week,once a week,Butter
Male,couple,1,2,172.0,86.0,73.0,once a week,every day,every day,every day,less than once a week,Sunflower oil
Male,couple,0,3,186.0,95.0,74.0,4-6 times a week,2-3 times a week,every day,every day,every day,Sunflower oil
Female,couple,0,3,168.0,77.0,69.0,4-6 times a week,2-3 times a week,every day,every day,every day,Sunflower oil
Male,single,0,0,181.0,94.0,71.0,2-3 times a week,once a week,every day,2-3 times a week,every day,Olive oil
Male,single,0,1,172.0,62.0,85.0,every day,2-3 times a week,every day,every day,never,Olive oil
Male,couple,0,0,160.0,55.0,70.0,every day,2-3 times a week,every day,every day,every day,Margarine
Female,couple,0,0,155.0,50.0,73.0,every day,less than once a week,every day,every day,never,Peanut oil
Male,couple,0,1,172.0,81.0,74.0,every day,less than once a week,every day,every day,never,Peanut oil
Female,couple,0,2,160.0,62.0,77.0,2-3 times a week,once a week,2-3 times a week,every day,never,Sunflower oil
Female,single,0,1,158.0,51.0,69.0,every day,less than once a week,every day,every day,less than once a week,Sunflower oil
Female,single,0,2,160.0,49.0,76.0,2-3 times a week,2-3 times a week,every day,every day,2-3 times a week,Sunflower oil
Female,single,0,0,164.0,70.0,79.0,2-3 times a week,2-3 times a week,4-6 times a week,every day,never,Olive oil
Female,couple,0,3,153.0,60.0,65.0,2-3 times a week,2-3 times a week,2-3 times a week,4-6 times a week,2-3 times a week,Sunflower oil
Male,couple,0,4,169.0,68.0,66.0,2-3 times a week,2-3 times a week,less than once a week,4-6 times a week,less than once a week,Sunflower oil
Female,single,2,1,165.0,65.0,85.0,every day,every day,every day,every day,2-3 times a week,Olive oil
Male,single,0,2,166.0,66.0,90.0,2-3 times a week,once a week,every day,2-3 times a week,never,Peanut oil
Male,single,0,3,176.0,85.0,75.0,every day,every day,every day,once a week,never,Margarine
Male,couple,0,2,180.0,79.0,78.0,less than once a week,2-3 times a week,every day,every day,less than once a week,Butter
Male,single,0,2,174.0,75.0,87.0,2-3 times a week,2-3 times a week,every day,every day,every day,Butter
Female,single,0,2,160.0,60.0,88.0,2-3 times a week,less than once a week,every day,2-3 times a week,never,Peanut oil
Female,single,0,1,160.0,67.0,89.0,2-3 times a week,4-6 times a week,2-3 times a week,every day,less than once a week,Sunflower oil
